Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1410', profit=2963.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1411', profit=6205996.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1412', profit=688759.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1415', profit=-81867.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1417', profit=6447291.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1420', profit=4251714.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1423', profit=4463114.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1424', profit=10821450.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1425', profit=6244152.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1430', profit=5070566.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1431', profit=-112254.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1432', profit=5363490.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1434', profit=5820771.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1437', profit=3330326.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#1440', profit=6280419.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#146 ', profit=844478.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#148 ', profit=2238418.0)
Row(d_year=1997, s_city='UNITED ST0', p_brand1='MFGR#149 ', profit=922985.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1410', profit=753855.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1411', profit=6233551.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1412', profit=5863252.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1413', profit=2804680.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1417', profit=5398566.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1418', profit=8553782.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1420', profit=1091104.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1422', profit=2747797.0)
Row(d_year=1997, s_city='UNITED ST1', p_brand1='MFGR#1425', profit=1975132.0)
