Row(c_nation='CHINA          ', s_nation='CHINA          ', d_year=1992, revenue=4825164519.0)
Row(c_nation='INDONESIA      ', s_nation='INDONESIA      ', d_year=1992, revenue=4691085301.0)
Row(c_nation='CHINA          ', s_nation='INDIA          ', d_year=1992, revenue=4630127253.0)
Row(c_nation='INDONESIA      ', s_nation='INDIA          ', d_year=1992, revenue=4605163644.0)
Row(c_nation='CHINA          ', s_nation='INDONESIA      ', d_year=1992, revenue=4581433422.0)
Row(c_nation='CHINA          ', s_nation='VIETNAM        ', d_year=1992, revenue=4496492108.0)
Row(c_nation='VIETNAM        ', s_nation='INDIA          ', d_year=1992, revenue=4460499298.0)
Row(c_nation='INDONESIA      ', s_nation='CHINA          ', d_year=1992, revenue=4435405344.0)
Row(c_nation='VIETNAM        ', s_nation='INDONESIA      ', d_year=1992, revenue=4316387541.0)
Row(c_nation='VIETNAM        ', s_nation='CHINA          ', d_year=1992, revenue=4311478152.0)
Row(c_nation='INDIA          ', s_nation='CHINA          ', d_year=1992, revenue=4212152772.0)
Row(c_nation='VIETNAM        ', s_nation='VIETNAM        ', d_year=1992, revenue=4206375184.0)
Row(c_nation='CHINA          ', s_nation='JAPAN          ', d_year=1992, revenue=4204130276.0)
Row(c_nation='INDONESIA      ', s_nation='VIETNAM        ', d_year=1992, revenue=4185699286.0)
Row(c_nation='INDONESIA      ', s_nation='JAPAN          ', d_year=1992, revenue=4152840619.0)
Row(c_nation='JAPAN          ', s_nation='INDIA          ', d_year=1992, revenue=4139821519.0)
Row(c_nation='JAPAN          ', s_nation='CHINA          ', d_year=1992, revenue=4137329087.0)
Row(c_nation='INDIA          ', s_nation='INDIA          ', d_year=1992, revenue=4064671777.0)
Row(c_nation='JAPAN          ', s_nation='INDONESIA      ', d_year=1992, revenue=4062826931.0)
Row(c_nation='INDIA          ', s_nation='INDONESIA      ', d_year=1992, revenue=4052557557.0)
Row(c_nation='JAPAN          ', s_nation='VIETNAM        ', d_year=1992, revenue=4001661147.0)
Row(c_nation='VIETNAM        ', s_nation='JAPAN          ', d_year=1992, revenue=3957290387.0)
Row(c_nation='INDIA          ', s_nation='VIETNAM        ', d_year=1992, revenue=3855135945.0)
Row(c_nation='JAPAN          ', s_nation='JAPAN          ', d_year=1992, revenue=3822904512.0)
Row(c_nation='INDIA          ', s_nation='JAPAN          ', d_year=1992, revenue=3623169414.0)
Row(c_nation='VIETNAM        ', s_nation='INDONESIA      ', d_year=1993, revenue=4545336666.0)
Row(c_nation='INDONESIA      ', s_nation='INDONESIA      ', d_year=1993, revenue=4537440626.0)
Row(c_nation='CHINA          ', s_nation='INDIA          ', d_year=1993, revenue=4532919909.0)
Row(c_nation='INDONESIA      ', s_nation='CHINA          ', d_year=1993, revenue=4526127450.0)
Row(c_nation='INDONESIA      ', s_nation='INDIA          ', d_year=1993, revenue=4514937001.0)
Row(c_nation='CHINA          ', s_nation='INDONESIA      ', d_year=1993, revenue=4495650527.0)
Row(c_nation='INDONESIA      ', s_nation='VIETNAM        ', d_year=1993, revenue=4454115546.0)
Row(c_nation='CHINA          ', s_nation='CHINA          ', d_year=1993, revenue=4398039493.0)
Row(c_nation='VIETNAM        ', s_nation='VIETNAM        ', d_year=1993, revenue=4389223121.0)
Row(c_nation='VIETNAM        ', s_nation='CHINA          ', d_year=1993, revenue=4382534494.0)
Row(c_nation='INDONESIA      ', s_nation='JAPAN          ', d_year=1993, revenue=4282769237.0)
Row(c_nation='VIETNAM        ', s_nation='INDIA          ', d_year=1993, revenue=4272187941.0)
Row(c_nation='JAPAN          ', s_nation='INDONESIA      ', d_year=1993, revenue=4248987068.0)
Row(c_nation='CHINA          ', s_nation='VIETNAM        ', d_year=1993, revenue=4205744619.0)
Row(c_nation='JAPAN          ', s_nation='CHINA          ', d_year=1993, revenue=4176673889.0)
Row(c_nation='CHINA          ', s_nation='JAPAN          ', d_year=1993, revenue=4167377750.0)
Row(c_nation='INDIA          ', s_nation='INDIA          ', d_year=1993, revenue=4161047787.0)
Row(c_nation='INDIA          ', s_nation='VIETNAM        ', d_year=1993, revenue=4151054507.0)
Row(c_nation='INDIA          ', s_nation='INDONESIA      ', d_year=1993, revenue=4150323576.0)
Row(c_nation='JAPAN          ', s_nation='INDIA          ', d_year=1993, revenue=4138078949.0)
Row(c_nation='INDIA          ', s_nation='CHINA          ', d_year=1993, revenue=4117360533.0)
Row(c_nation='INDIA          ', s_nation='JAPAN          ', d_year=1993, revenue=4013415807.0)
Row(c_nation='JAPAN          ', s_nation='VIETNAM        ', d_year=1993, revenue=4007202423.0)
Row(c_nation='VIETNAM        ', s_nation='JAPAN          ', d_year=1993, revenue=3969635886.0)
Row(c_nation='JAPAN          ', s_nation='JAPAN          ', d_year=1993, revenue=3794971272.0)
Row(c_nation='CHINA          ', s_nation='INDIA          ', d_year=1994, revenue=5196182799.0)
Row(c_nation='CHINA          ', s_nation='INDONESIA      ', d_year=1994, revenue=4848628379.0)
Row(c_nation='CHINA          ', s_nation='VIETNAM        ', d_year=1994, revenue=4764100482.0)
Row(c_nation='VIETNAM        ', s_nation='INDONESIA      ', d_year=1994, revenue=4572983897.0)
Row(c_nation='CHINA          ', s_nation='CHINA          ', d_year=1994, revenue=4531197461.0)
Row(c_nation='INDONESIA      ', s_nation='INDIA          ', d_year=1994, revenue=4489842002.0)
Row(c_nation='INDONESIA      ', s_nation='VIETNAM        ', d_year=1994, revenue=4468572921.0)
