Row(d_year=1992, c_nation='ARGENTINA      ', profit=8469315064.0)
Row(d_year=1992, c_nation='BRAZIL         ', profit=7779155760.0)
Row(d_year=1992, c_nation='CANADA         ', profit=8913866623.0)
Row(d_year=1992, c_nation='PERU           ', profit=8299098347.0)
Row(d_year=1992, c_nation='UNITED STATES  ', profit=8418144441.0)
Row(d_year=1993, c_nation='ARGENTINA      ', profit=8609516279.0)
Row(d_year=1993, c_nation='BRAZIL         ', profit=7906198689.0)
Row(d_year=1993, c_nation='CANADA         ', profit=8851466087.0)
Row(d_year=1993, c_nation='PERU           ', profit=8243260292.0)
Row(d_year=1993, c_nation='UNITED STATES  ', profit=8676565232.0)
Row(d_year=1994, c_nation='ARGENTINA      ', profit=8670652713.0)
Row(d_year=1994, c_nation='BRAZIL         ', profit=7637760460.0)
Row(d_year=1994, c_nation='CANADA         ', profit=8763637144.0)
Row(d_year=1994, c_nation='PERU           ', profit=8385693935.0)
Row(d_year=1994, c_nation='UNITED STATES  ', profit=8526769051.0)
Row(d_year=1995, c_nation='ARGENTINA      ', profit=8461331168.0)
Row(d_year=1995, c_nation='BRAZIL         ', profit=7522598578.0)
Row(d_year=1995, c_nation='CANADA         ', profit=8243668038.0)
Row(d_year=1995, c_nation='PERU           ', profit=8037733112.0)
Row(d_year=1995, c_nation='UNITED STATES  ', profit=8473112146.0)
Row(d_year=1996, c_nation='ARGENTINA      ', profit=8675403763.0)
Row(d_year=1996, c_nation='BRAZIL         ', profit=7957652668.0)
Row(d_year=1996, c_nation='CANADA         ', profit=8405162214.0)
Row(d_year=1996, c_nation='PERU           ', profit=7850297900.0)
Row(d_year=1996, c_nation='UNITED STATES  ', profit=8698017612.0)
Row(d_year=1997, c_nation='ARGENTINA      ', profit=8241700046.0)
Row(d_year=1997, c_nation='BRAZIL         ', profit=7907081355.0)
Row(d_year=1997, c_nation='CANADA         ', profit=8283515698.0)
Row(d_year=1997, c_nation='PERU           ', profit=7730434337.0)
Row(d_year=1997, c_nation='UNITED STATES  ', profit=8748947400.0)
Row(d_year=1998, c_nation='ARGENTINA      ', profit=4779970745.0)
Row(d_year=1998, c_nation='BRAZIL         ', profit=4659837237.0)
Row(d_year=1998, c_nation='CANADA         ', profit=4777773911.0)
Row(d_year=1998, c_nation='PERU           ', profit=5114290846.0)
Row(d_year=1998, c_nation='UNITED STATES  ', profit=5126555364.0)
