(1992, 'ARGENTINA      ', 81781437317.0)
(1992, 'BRAZIL         ', 83121300340.0)
(1992, 'CANADA         ', 83539035963.0)
(1992, 'PERU           ', 80896560140.0)
(1992, 'UNITED STATES  ', 82876887196.0)
(1993, 'ARGENTINA      ', 81089276880.0)
(1993, 'BRAZIL         ', 83648090607.0)
(1993, 'CANADA         ', 83754593443.0)
(1993, 'PERU           ', 81263500008.0)
(1993, 'UNITED STATES  ', 80074090301.0)
(1994, 'ARGENTINA      ', 80769508134.0)
(1994, 'BRAZIL         ', 82803341906.0)
(1994, 'CANADA         ', 83257315972.0)
(1994, 'PERU           ', 80826753769.0)
(1994, 'UNITED STATES  ', 82443515427.0)
(1995, 'ARGENTINA      ', 80829144984.0)
(1995, 'BRAZIL         ', 83605561601.0)
(1995, 'CANADA         ', 81740618980.0)
(1995, 'PERU           ', 79676472869.0)
(1995, 'UNITED STATES  ', 80664778050.0)
(1996, 'ARGENTINA      ', 81415803800.0)
(1996, 'BRAZIL         ', 83599277397.0)
(1996, 'CANADA         ', 82178230414.0)
(1996, 'PERU           ', 80991455176.0)
(1996, 'UNITED STATES  ', 79756389196.0)
(1997, 'ARGENTINA      ', 81491681528.0)
(1997, 'BRAZIL         ', 83962761376.0)
(1997, 'CANADA         ', 83395284227.0)
(1997, 'PERU           ', 81062148340.0)
(1997, 'UNITED STATES  ', 82092526598.0)
(1998, 'ARGENTINA      ', 47278756265.0)
(1998, 'BRAZIL         ', 47932381245.0)
(1998, 'CANADA         ', 48623702949.0)
(1998, 'PERU           ', 48052579509.0)
(1998, 'UNITED STATES  ', 47872795121.0)
