(1992, 'ARGENTINA      ', 8469315064.0)
(1992, 'BRAZIL         ', 7779155760.0)
(1992, 'CANADA         ', 8913866623.0)
(1992, 'PERU           ', 8299098347.0)
(1992, 'UNITED STATES  ', 8418144441.0)
(1993, 'ARGENTINA      ', 8609516279.0)
(1993, 'BRAZIL         ', 7906198689.0)
(1993, 'CANADA         ', 8851466087.0)
(1993, 'PERU           ', 8243260292.0)
(1993, 'UNITED STATES  ', 8676565232.0)
(1994, 'ARGENTINA      ', 8670652713.0)
(1994, 'BRAZIL         ', 7637760460.0)
(1994, 'CANADA         ', 8763637144.0)
(1994, 'PERU           ', 8385693935.0)
(1994, 'UNITED STATES  ', 8526769051.0)
(1995, 'ARGENTINA      ', 8461331168.0)
(1995, 'BRAZIL         ', 7522598578.0)
(1995, 'CANADA         ', 8243668038.0)
(1995, 'PERU           ', 8037733112.0)
(1995, 'UNITED STATES  ', 8473112146.0)
(1996, 'ARGENTINA      ', 8675403763.0)
(1996, 'BRAZIL         ', 7957652668.0)
(1996, 'CANADA         ', 8405162214.0)
(1996, 'PERU           ', 7850297900.0)
(1996, 'UNITED STATES  ', 8698017612.0)
(1997, 'ARGENTINA      ', 8241700046.0)
(1997, 'BRAZIL         ', 7907081355.0)
(1997, 'CANADA         ', 8283515698.0)
(1997, 'PERU           ', 7730434337.0)
(1997, 'UNITED STATES  ', 8748947400.0)
(1998, 'ARGENTINA      ', 4779970745.0)
(1998, 'BRAZIL         ', 4659837237.0)
(1998, 'CANADA         ', 4777773911.0)
(1998, 'PERU           ', 5114290846.0)
(1998, 'UNITED STATES  ', 5126555364.0)
