('UNITED KI5', 'UNITED KI5', 1992, 469514083.0)
('UNITED KI1', 'UNITED KI1', 1992, 415364491.0)
('UNITED KI5', 'UNITED KI1', 1992, 395129145.0)
('UNITED KI1', 'UNITED KI5', 1992, 381686641.0)
('UNITED KI5', 'UNITED KI1', 1993, 474666472.0)
('UNITED KI1', 'UNITED KI1', 1993, 455231407.0)
('UNITED KI1', 'UNITED KI5', 1993, 447309102.0)
('UNITED KI5', 'UNITED KI5', 1993, 396348039.0)
('UNITED KI5', 'UNITED KI1', 1994, 424545701.0)
('UNITED KI1', 'UNITED KI1', 1994, 422767668.0)
('UNITED KI1', 'UNITED KI5', 1994, 381940052.0)
('UNITED KI5', 'UNITED KI5', 1994, 374930827.0)
('UNITED KI1', 'UNITED KI1', 1995, 474445634.0)
('UNITED KI5', 'UNITED KI5', 1995, 453540658.0)
('UNITED KI5', 'UNITED KI1', 1995, 372081570.0)
('UNITED KI1', 'UNITED KI5', 1995, 320920639.0)
('UNITED KI1', 'UNITED KI1', 1996, 507773955.0)
('UNITED KI5', 'UNITED KI1', 1996, 449515760.0)
('UNITED KI1', 'UNITED KI5', 1996, 423418161.0)
('UNITED KI5', 'UNITED KI5', 1996, 417829674.0)
('UNITED KI1', 'UNITED KI5', 1997, 495090332.0)
('UNITED KI5', 'UNITED KI5', 1997, 493857578.0)
('UNITED KI1', 'UNITED KI1', 1997, 422618483.0)
('UNITED KI5', 'UNITED KI1', 1997, 399634038.0)
