(569322336.0, 1992, 'MFGR#2221')
(497899339.0, 1992, 'MFGR#2222')
(489520608.0, 1992, 'MFGR#2223')
(442244860.0, 1992, 'MFGR#2224')
(559448524.0, 1992, 'MFGR#2225')
(601672698.0, 1992, 'MFGR#2226')
(529881675.0, 1992, 'MFGR#2227')
(634006434.0, 1992, 'MFGR#2228')
(414651796.0, 1993, 'MFGR#2221')
(447655760.0, 1993, 'MFGR#2222')
(495505084.0, 1993, 'MFGR#2223')
(568156784.0, 1993, 'MFGR#2224')
(447759756.0, 1993, 'MFGR#2225')
(543082796.0, 1993, 'MFGR#2226')
(423746446.0, 1993, 'MFGR#2227')
(594536267.0, 1993, 'MFGR#2228')
(511649118.0, 1994, 'MFGR#2221')
(488037260.0, 1994, 'MFGR#2222')
(591589474.0, 1994, 'MFGR#2223')
(417515337.0, 1994, 'MFGR#2224')
(541535753.0, 1994, 'MFGR#2225')
(484164270.0, 1994, 'MFGR#2226')
(480666391.0, 1994, 'MFGR#2227')
(557263945.0, 1994, 'MFGR#2228')
(533668888.0, 1995, 'MFGR#2221')
(531865727.0, 1995, 'MFGR#2222')
(405554768.0, 1995, 'MFGR#2223')
(433895830.0, 1995, 'MFGR#2224')
(538209750.0, 1995, 'MFGR#2225')
(574775672.0, 1995, 'MFGR#2226')
(527126194.0, 1995, 'MFGR#2227')
(557217316.0, 1995, 'MFGR#2228')
(613202697.0, 1996, 'MFGR#2221')
(583177135.0, 1996, 'MFGR#2222')
(501405242.0, 1996, 'MFGR#2223')
(489775322.0, 1996, 'MFGR#2224')
(504494517.0, 1996, 'MFGR#2225')
(621826250.0, 1996, 'MFGR#2226')
(552415002.0, 1996, 'MFGR#2227')
(499509195.0, 1996, 'MFGR#2228')
(612522797.0, 1997, 'MFGR#2221')
(534706182.0, 1997, 'MFGR#2222')
(519016980.0, 1997, 'MFGR#2223')
(485032303.0, 1997, 'MFGR#2224')
(486333253.0, 1997, 'MFGR#2225')
(576014434.0, 1997, 'MFGR#2226')
(493552331.0, 1997, 'MFGR#2227')
(624814436.0, 1997, 'MFGR#2228')
(273657420.0, 1998, 'MFGR#2221')
(308256107.0, 1998, 'MFGR#2222')
(291869785.0, 1998, 'MFGR#2223')
(321625794.0, 1998, 'MFGR#2224')
(351736826.0, 1998, 'MFGR#2225')
(348821816.0, 1998, 'MFGR#2226')
(295797157.0, 1998, 'MFGR#2227')
(322069678.0, 1998, 'MFGR#2228')
