(1997, 'ARGENTINA      ', 'MFGR#11', 8150413682.0)
(1997, 'ARGENTINA      ', 'MFGR#12', 7936353352.0)
(1997, 'ARGENTINA      ', 'MFGR#13', 8340800717.0)
(1997, 'ARGENTINA      ', 'MFGR#14', 8402513383.0)
(1997, 'ARGENTINA      ', 'MFGR#15', 8135187728.0)
(1997, 'ARGENTINA      ', 'MFGR#21', 8000992799.0)
(1997, 'ARGENTINA      ', 'MFGR#22', 8050923542.0)
(1997, 'ARGENTINA      ', 'MFGR#23', 8095772368.0)
(1997, 'ARGENTINA      ', 'MFGR#24', 8201886027.0)
(1997, 'ARGENTINA      ', 'MFGR#25', 8475343198.0)
(1997, 'BRAZIL         ', 'MFGR#11', 8234740603.0)
(1997, 'BRAZIL         ', 'MFGR#12', 8226910364.0)
(1997, 'BRAZIL         ', 'MFGR#13', 8600387174.0)
(1997, 'BRAZIL         ', 'MFGR#14', 8197966288.0)
(1997, 'BRAZIL         ', 'MFGR#15', 8104348745.0)
(1997, 'BRAZIL         ', 'MFGR#21', 8130842447.0)
(1997, 'BRAZIL         ', 'MFGR#22', 8020946375.0)
(1997, 'BRAZIL         ', 'MFGR#23', 8268146741.0)
(1997, 'BRAZIL         ', 'MFGR#24', 8096026921.0)
(1997, 'BRAZIL         ', 'MFGR#25', 8534959692.0)
(1997, 'CANADA         ', 'MFGR#11', 8484202367.0)
(1997, 'CANADA         ', 'MFGR#12', 8121012514.0)
(1997, 'CANADA         ', 'MFGR#13', 8558529175.0)
(1997, 'CANADA         ', 'MFGR#14', 8468614911.0)
(1997, 'CANADA         ', 'MFGR#15', 8507772848.0)
(1997, 'CANADA         ', 'MFGR#21', 8023035634.0)
(1997, 'CANADA         ', 'MFGR#22', 7923485842.0)
(1997, 'CANADA         ', 'MFGR#23', 8432948644.0)
(1997, 'CANADA         ', 'MFGR#24', 8133742065.0)
(1997, 'CANADA         ', 'MFGR#25', 8016352869.0)
(1997, 'PERU           ', 'MFGR#11', 8464265173.0)
(1997, 'PERU           ', 'MFGR#12', 8246725091.0)
(1997, 'PERU           ', 'MFGR#13', 8412776665.0)
(1997, 'PERU           ', 'MFGR#14', 7993774463.0)
(1997, 'PERU           ', 'MFGR#15', 8212915064.0)
(1997, 'PERU           ', 'MFGR#21', 8228977857.0)
(1997, 'PERU           ', 'MFGR#22', 8241947401.0)
(1997, 'PERU           ', 'MFGR#23', 7913238779.0)
(1997, 'PERU           ', 'MFGR#24', 7839645875.0)
(1997, 'PERU           ', 'MFGR#25', 8111175325.0)
(1997, 'UNITED STATES  ', 'MFGR#11', 8203859890.0)
(1997, 'UNITED STATES  ', 'MFGR#12', 8620107626.0)
(1997, 'UNITED STATES  ', 'MFGR#13', 8512653093.0)
(1997, 'UNITED STATES  ', 'MFGR#14', 8383723168.0)
(1997, 'UNITED STATES  ', 'MFGR#15', 8829691106.0)
(1997, 'UNITED STATES  ', 'MFGR#21', 8109634108.0)
(1997, 'UNITED STATES  ', 'MFGR#22', 8266491710.0)
(1997, 'UNITED STATES  ', 'MFGR#23', 8117120844.0)
(1997, 'UNITED STATES  ', 'MFGR#24', 8535280102.0)
(1997, 'UNITED STATES  ', 'MFGR#25', 7885239714.0)
(1998, 'ARGENTINA      ', 'MFGR#11', 4587180495.0)
(1998, 'ARGENTINA      ', 'MFGR#12', 4824404675.0)
(1998, 'ARGENTINA      ', 'MFGR#13', 4868324436.0)
(1998, 'ARGENTINA      ', 'MFGR#14', 4593676073.0)
(1998, 'ARGENTINA      ', 'MFGR#15', 4858743583.0)
(1998, 'ARGENTINA      ', 'MFGR#21', 4811616062.0)
(1998, 'ARGENTINA      ', 'MFGR#22', 4757301568.0)
(1998, 'ARGENTINA      ', 'MFGR#23', 4600235982.0)
(1998, 'ARGENTINA      ', 'MFGR#24', 4667616498.0)
(1998, 'ARGENTINA      ', 'MFGR#25', 4760356359.0)
(1998, 'BRAZIL         ', 'MFGR#11', 4985307467.0)
(1998, 'BRAZIL         ', 'MFGR#12', 5093144214.0)
(1998, 'BRAZIL         ', 'MFGR#13', 4609106334.0)
(1998, 'BRAZIL         ', 'MFGR#14', 4657312097.0)
(1998, 'BRAZIL         ', 'MFGR#15', 4700439387.0)
(1998, 'BRAZIL         ', 'MFGR#21', 4854646362.0)
(1998, 'BRAZIL         ', 'MFGR#22', 4763148627.0)
(1998, 'BRAZIL         ', 'MFGR#23', 4452456055.0)
(1998, 'BRAZIL         ', 'MFGR#24', 4751849466.0)
(1998, 'BRAZIL         ', 'MFGR#25', 4841079729.0)
(1998, 'CANADA         ', 'MFGR#11', 4897603174.0)
(1998, 'CANADA         ', 'MFGR#12', 4732543393.0)
(1998, 'CANADA         ', 'MFGR#13', 4887306145.0)
(1998, 'CANADA         ', 'MFGR#14', 4739566708.0)
(1998, 'CANADA         ', 'MFGR#15', 4850434789.0)
(1998, 'CANADA         ', 'MFGR#21', 4815814749.0)
(1998, 'CANADA         ', 'MFGR#22', 4938440130.0)
(1998, 'CANADA         ', 'MFGR#23', 4584525474.0)
(1998, 'CANADA         ', 'MFGR#24', 4637166731.0)
(1998, 'CANADA         ', 'MFGR#25', 4921241953.0)
(1998, 'PERU           ', 'MFGR#11', 4886243962.0)
(1998, 'PERU           ', 'MFGR#12', 4789029213.0)
(1998, 'PERU           ', 'MFGR#13', 4650401945.0)
(1998, 'PERU           ', 'MFGR#14', 4690972980.0)
(1998, 'PERU           ', 'MFGR#15', 4812292504.0)
(1998, 'PERU           ', 'MFGR#21', 4694931017.0)
(1998, 'PERU           ', 'MFGR#22', 4919222069.0)
(1998, 'PERU           ', 'MFGR#23', 4798371165.0)
(1998, 'PERU           ', 'MFGR#24', 4733459943.0)
(1998, 'PERU           ', 'MFGR#25', 4950427025.0)
(1998, 'UNITED STATES  ', 'MFGR#11', 4819466524.0)
(1998, 'UNITED STATES  ', 'MFGR#12', 4954485832.0)
(1998, 'UNITED STATES  ', 'MFGR#13', 5068727719.0)
(1998, 'UNITED STATES  ', 'MFGR#14', 5028938921.0)
(1998, 'UNITED STATES  ', 'MFGR#15', 4654291811.0)
(1998, 'UNITED STATES  ', 'MFGR#21', 4724900431.0)
(1998, 'UNITED STATES  ', 'MFGR#22', 4940607957.0)
(1998, 'UNITED STATES  ', 'MFGR#23', 4874260354.0)
(1998, 'UNITED STATES  ', 'MFGR#24', 4966150664.0)
(1998, 'UNITED STATES  ', 'MFGR#25', 4760444338.0)
