('UNITED KI5', 'UNITED KI1', 1992, 29182477.0)
('UNITED KI5', 'UNITED KI5', 1992, 25076763.0)
('UNITED KI1', 'UNITED KI5', 1992, 24052028.0)
('UNITED KI1', 'UNITED KI1', 1992, 19853200.0)
('UNITED KI5', 'UNITED KI1', 1993, 40522453.0)
('UNITED KI5', 'UNITED KI5', 1993, 29943583.0)
('UNITED KI1', 'UNITED KI5', 1993, 25153082.0)
('UNITED KI1', 'UNITED KI1', 1993, 12524913.0)
('UNITED KI1', 'UNITED KI5', 1994, 40666503.0)
('UNITED KI5', 'UNITED KI1', 1994, 30337433.0)
('UNITED KI1', 'UNITED KI1', 1994, 23773470.0)
('UNITED KI5', 'UNITED KI5', 1994, 17547940.0)
('UNITED KI1', 'UNITED KI5', 1995, 28445919.0)
('UNITED KI5', 'UNITED KI1', 1995, 24653682.0)
('UNITED KI1', 'UNITED KI1', 1995, 19241963.0)
('UNITED KI5', 'UNITED KI5', 1995, 8428225.0)
('UNITED KI5', 'UNITED KI1', 1996, 48178089.0)
('UNITED KI5', 'UNITED KI5', 1996, 37120892.0)
('UNITED KI1', 'UNITED KI5', 1996, 33956995.0)
('UNITED KI1', 'UNITED KI1', 1996, 18262291.0)
('UNITED KI5', 'UNITED KI1', 1997, 30375098.0)
('UNITED KI1', 'UNITED KI5', 1997, 24840752.0)
('UNITED KI1', 'UNITED KI1', 1997, 23767210.0)
('UNITED KI5', 'UNITED KI5', 1997, 16979138.0)
